Energy(ev),  Intensity
 1108.00 , 48130
 1109.00 , 48210
 1110.00 , 48151
 1111.00 , 48182
 1112.00 , 48234
 1113.00 , 48244
 1114.00 , 48268
 1115.00 , 48241
 1116.00 , 48294
 1117.00 , 48387
 1118.00 , 48399
 1119.00 , 48393
 1120.00 , 48394
 1121.00 , 48426
 1122.00 , 48428
 1123.00 , 48483
 1124.00 , 48465
 1125.00 , 48516
 1126.00 , 48512
 1127.00 , 48566
 1128.00 , 48629
 1129.00 , 48689
 1130.00 , 48642
 1131.00 , 48633
 1132.00 , 48679
 1133.00 , 48809
 1134.00 , 48812
 1135.00 , 48779
 1136.00 , 48786
 1137.00 , 48777
 1138.00 , 48728
 1139.00 , 48820
 1140.00 , 48919
 1141.00 , 48824
 1142.00 , 48955
 1143.00 , 49002
 1144.00 , 49041
 1145.00 , 48959
 1146.00 , 49052
 1147.00 , 49093
 1148.00 , 49051
 1149.00 , 49109
 1150.00 , 49103
 1151.00 , 49109
 1152.00 , 49147
 1153.00 , 49130
 1154.00 , 49261
 1155.00 , 49277
 1156.00 , 49288
 1157.00 , 49328
 1158.00 , 49285
 1159.00 , 49344
 1160.00 , 49473
 1161.00 , 49478
 1162.00 , 49405
 1163.00 , 49435
 1164.00 , 49421
 1165.00 , 49483
 1166.00 , 49558
 1167.00 , 49559
 1168.00 , 49619
 1169.00 , 49604
 1170.00 , 49605
 1171.00 , 49684
 1172.00 , 49648
 1173.00 , 49758
 1174.00 , 49768
 1175.00 , 49756
 1176.00 , 49711
 1177.00 , 49779
 1178.00 , 49780
 1179.00 , 49859
 1180.00 , 49842
 1181.00 , 49896
 1182.00 , 49958
 1183.00 , 49913
 1184.00 , 50000
 1185.00 , 50003
 1186.00 , 50039
 1187.00 , 50035
 1188.00 , 50113
 1189.00 , 50114
 1190.00 , 50167
 1191.00 , 50173
 1192.00 , 50173
 1193.00 , 50249
 1194.00 , 50173
 1195.00 , 50238
 1196.00 , 50306
 1197.00 , 50318
 1198.00 , 50345
 1199.00 , 50387
 1200.00 , 50446
 1201.00 , 50409
 1202.00 , 50469
 1203.00 , 50504
 1204.00 , 50400
 1205.00 , 50471
 1206.00 , 50565
 1207.00 , 50548
 1208.00 , 50572
 1209.00 , 50617
 1210.00 , 50683
 1211.00 , 50707
 1212.00 , 50760
 1213.00 , 50706
 1214.00 , 50719
 1215.00 , 50782
 1216.00 , 50862
 1217.00 , 50850
 1218.00 , 50855
 1219.00 , 50907
 1220.00 , 50979
 1221.00 , 50950
 1222.00 , 50908
 1223.00 , 50952
 1224.00 , 51019
 1225.00 , 51073
 1226.00 , 51186
 1227.00 , 51100
 1228.00 , 51109
 1229.00 , 51146
 1230.00 , 51105
 1231.00 , 51189
 1232.00 , 51225
 1233.00 , 51262
 1234.00 , 51284
 1235.00 , 51304
 1236.00 , 51302
 1237.00 , 51381
 1238.00 , 51357
 1239.00 , 51439
 1240.00 , 51410
 1241.00 , 51482
 1242.00 , 51496
 1243.00 , 51544
 1244.00 , 51561
 1245.00 , 51580
 1246.00 , 51644
 1247.00 , 51650
 1248.00 , 51651
 1249.00 , 51599
 1250.00 , 51700
 1251.00 , 51794
 1252.00 , 51790
 1253.00 , 51739
 1254.00 , 51855
 1255.00 , 51899
 1256.00 , 51883
 1257.00 , 51862
 1258.00 , 51913
 1259.00 , 51931
 1260.00 , 52007
 1261.00 , 51976
 1262.00 , 52015
 1263.00 , 52038
 1264.00 , 52010
 1265.00 , 52051
 1266.00 , 52130
 1267.00 , 52162
 1268.00 , 52156
 1269.00 , 52179
 1270.00 , 52257
 1271.00 , 52220
 1272.00 , 52310
 1273.00 , 52261
 1274.00 , 52390
 1275.00 , 52405
 1276.00 , 52425
 1277.00 , 52482
 1278.00 , 52482
 1279.00 , 52557
 1280.00 , 52496
 1281.00 , 52472
 1282.00 , 52532
 1283.00 , 52581
 1284.00 , 52645
 1285.00 , 52683
 1286.00 , 52632
 1287.00 , 52683
 1288.00 , 52653
 1289.00 , 52692
 1290.00 , 52844
 1291.00 , 52821
 1292.00 , 52840
 1293.00 , 52878
 1294.00 , 52933
 1295.00 , 52918
 1296.00 , 52877
 1297.00 , 52940
 1298.00 , 53059
 1299.00 , 53001
 1300.00 , 53009
 1301.00 , 53096
 1302.00 , 53085
 1303.00 , 53157
 1304.00 , 53227
 1305.00 , 53205
 1306.00 , 53300
 1307.00 , 53246
 1308.00 , 53236
 1309.00 , 53277
 1310.00 , 53279
 1311.00 , 53327
 1312.00 , 53358
 1313.00 , 53374
 1314.00 , 53431
 1315.00 , 53424
 1316.00 , 53566
 1317.00 , 53546
 1318.00 , 53525
 1319.00 , 53526
 1320.00 , 53524
 1321.00 , 53754
 1322.00 , 53660
 1323.00 , 53591
 1324.00 , 53671
 1325.00 , 53737
 1326.00 , 53714
 1327.00 , 53761
 1328.00 , 53838
 1329.00 , 53826
 1330.00 , 53949
 1331.00 , 53923
 1332.00 , 53888
 1333.00 , 53916
 1334.00 , 54047
 1335.00 , 54017
 1336.00 , 53988
 1337.00 , 54028
 1338.00 , 54098
 1339.00 , 54147
 1340.00 , 54137
 1341.00 , 54211
 1342.00 , 54174
 1343.00 , 54267
 1344.00 , 54280
 1345.00 , 54369
 1346.00 , 54369
 1347.00 , 54282
 1348.00 , 54371
 1349.00 , 54430
 1350.00 , 54426
 1351.00 , 54410
 1352.00 , 54497
 1353.00 , 54458
 1354.00 , 54557
 1355.00 , 54596
